OID,OBJECTID,Codigo,Abscisa_in,Abscisa_fi,Abscisa_pl,GlobalID_1,SHAPE_Leng,ID_dragado,Volumen_m3,Longitud,Fecha_inic,Fecha_fina,Draga,Contrato,Estado,Tramo,Municipio,Shape_Le_1,Shape_Area,concatenad
-1,75,080001313500300820,K13+500,K15+200,0.0000000,{4C2149C0-043D-4181-AF92-11B2FB60C18A},3817.744691209999928,58,55931.000000000000000,1700.000000000000000,30/08/2020 0:00:00,8/09/2020 0:00:00, , ,Finalizado,Bocas de Ceniza a Puente Pumarejo,Barranquilla,3817.731636112659544,481647.211989093280863,58Barranquilla
-1,76,0000001200070920,K0-200,K0+700,0.0000000,{AE5F9319-002A-4F52-9C5B-4818AF600A92},2020.085343329999887,59,32869.000000000000000,900.000000000000000,7/09/2020 0:00:00,13/09/2020 0:00:00, , ,Finalizado,Bocas de Ceniza a Puente Pumarejo,Barranquilla,2020.085343328717045,213012.348898154275957,59Barranquilla
-1,77,080001420900140920,K20+900,K21+600,0.0000000,{C77F87D8-8CEA-4146-A289-30E5272C4A2F},1909.093872409999904,60,18201.000000000000000,700.000000000000000,14/09/2020 0:00:00,19/09/2020 0:00:00, , ,Finalizado,Bocas de Ceniza a Puente Pumarejo,Barranquilla,1909.093872412269775,193866.948671803053003,60Barranquilla
-1,78,0000001500190920,K0-500,K1+000,0.0000000,{610C12FD-CB0C-4938-A1A2-54786FB4B230},3604.913094389999969,61,48529.000000000000000,1500.000000000000000,19/09/2020 0:00:00,28/09/2020 0:00:00, , ,Finalizado,Bocas de Ceniza a Puente Pumarejo,Barranquilla,3604.891568996632486,447742.547633456939366,61Barranquilla
-1,79,08000126700280920,K6+700,K8+000,0.0000000,{CA8C553B-4484-4258-8889-EC4509108825},3327.168277589999889,62,114453.000000000000000,1300.000000000000000,28/09/2020 0:00:00,9/10/2020 0:00:00, , ,Finalizado,Bocas de Ceniza a Puente Pumarejo,Barranquilla,3327.158993325173469,407690.875016390287783,62Barranquilla
-1,80,08000138000280920,K8+000,K8+700,0.0000000,{B86071AE-DD6E-458C-9390-F3A2AD13083F},2161.579749120000088,63,61628.000000000000000,700.000000000000000,28/09/2020 0:00:00,9/10/2020 0:00:00, , ,Finalizado,Bocas de Ceniza a Puente Pumarejo,Barranquilla,2161.579749123313377,234142.094209369737655,63Barranquilla
-1,81,0800011500091020,K0-500,K0+500,0.0000000,{5049CEE2-0E06-4398-AE5A-C9A808866AAF},2598.141102019999835,64,5341.000000000000000,0.000000000000000,9/10/2020 0:00:00,14/10/2020 0:00:00, , ,Finalizado,Bocas de Ceniza a Puente Pumarejo,Barranquilla,2598.119576258442521,297306.137173525989056,64Barranquilla
-1,82,08000125000141020,K5+000,K6+700,0.0000000,{88920BD9-3819-4EE7-80B9-2F8E4BC3DE23},3871.915754870000001,65,128901.000000000000000,1700.000000000000000,14/10/2020 0:00:00,23/10/2020 0:00:00, , ,Finalizado,Bocas de Ceniza a Puente Pumarejo,Barranquilla,3871.915754874627510,490658.247323166579008,65Barranquilla
-1,83,0000001500271020,K0-500,K0+500,0.0000000,{B5C92928-921B-447D-BE93-109874201B77},2595.253118279999853,66,32078.000000000000000,1000.000000000000000,27/10/2020 0:00:00,2/11/2020 0:00:00, , ,Finalizado,Bocas de Ceniza a Puente Pumarejo,Barranquilla,2595.231592882922996,297530.446000855474267,66Barranquilla
-1,84,080001420900021120,K20+900,K21+500,0.0000000,{833F0AF9-95A7-42DC-9F0D-2B514DFB2188},1756.493335149999893,67,49202.000000000000000,700.000000000000000,2/11/2020 0:00:00,7/11/2020 0:00:00, , ,Finalizado,Bocas de Ceniza a Puente Pumarejo,Barranquilla,1756.493335153919816,173472.594988769415068,67Barranquilla
-1,85,0000001300071120,K0-300,K0+200,0.0000000,{5247A9B0-C697-4747-AD23-81FE32136AF0},1958.210857080000096,68,9327.000000000000000,500.000000000000000,7/11/2020 0:00:00,10/11/2020 0:00:00, , ,Finalizado,Bocas de Ceniza a Puente Pumarejo,Barranquilla,1958.169374458611401,188954.343056566751329,68Barranquilla
-1,88,080001310800101120,K10+800,K12+500,0.0000000,{15DE39B8-E05F-4CF2-99B2-E51B5D277F2A},3834.659815649999928,69,40123.000000000000000,1700.000000000000000,10/11/2020 0:00:00,20/11/2020 0:00:00, , ,Finalizado,Bocas de Ceniza a Puente Pumarejo,Barranquilla,3834.659815649539269,485197.341700964141637,69Barranquilla
-1,89,080001312500101120,K12+500,K13+200,0.0000000,{59054EF2-E4DE-41BB-9DDA-97EF4BA4C149},1905.513787520000051,70,17266.000000000000000,700.000000000000000,10/11/2020 0:00:00,22/11/2020 0:00:00, , ,Finalizado,Bocas de Ceniza a Puente Pumarejo,Barranquilla,1905.513787517832725,195826.530577547411667,70Barranquilla
-1,90,0000001300221120,K0-300,K0+200,0.0000000,{4AC36642-3E3F-4C3F-A61E-54426996445A},1634.209314250000034,71,2989.000000000000000,500.000000000000000,22/11/2020 0:00:00,28/11/2020 0:00:00, , ,Finalizado,Bocas de Ceniza a Puente Pumarejo,Barranquilla,1634.202936051100551,155376.437488460214809,71Barranquilla
-1,91,080001310000291120,K10+000,K11+600,0.0000000,{2E50E4E1-8C55-444D-BB1E-EFC626BE7A58},3868.689726330000212,72,48620.000000000000000,1600.000000000000000,29/11/2020 0:00:00,1/12/2020 0:00:00, , ,Finalizado,Bocas de Ceniza a Puente Pumarejo,Barranquilla,3868.689726330457688,490275.910262272926047,72Barranquilla
-1,92,0000001300011220,K0-300,K0+200,0.0000000,{2B3C87CB-35C9-49D7-86FD-C3F796D706FF},1643.868959740000037,73,10610.000000000000000,500.000000000000000,1/12/2020 0:00:00,3/12/2020 0:00:00, , ,Finalizado,Bocas de Ceniza a Puente Pumarejo,Barranquilla,1643.862581539814073,155588.490457104780944,73Barranquilla
